Операция,Время (мс)
user_create,1756
user_find_by_id,1413
user_find_by_login,1787
user_update,2971
function_create,1636
function_find_by_id,1137
function_find_by_user_id,80
function_update,2634
point_create,1668
point_find_by_id,1215
point_find_by_function_id,76
point_update,2548
point_delete_all,1216
function_delete_all,14
user_delete_all,13
